n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
1,WR,1005.083333,1098,0.308353–0.330433,0.314850,0.390192,0.059759
1,SN,501.666667,336,0.150472–0.168103,0.159639,0.119403,0.031069
1,SE,502.000000,336,0.150085–0.167849,0.160277,0.119403,0.030682
1,LD,498.250000,342,0.149011–0.167771,0.157579,0.121535,0.027476
1,D,544.666667,588,0.159957–0.185620,0.178144,0.208955,0.023335
1,PH,81.083333,114,0.024307–0.027032,0.026093,0.040512,0.013480
1,LM,20.000000,0,0.004594–0.007637,0.005962,0.000000,0.004594
1,EM,1.500000,0,0.000000–0.000085,0.000000,0.000000,0.000000
