n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
1,WR,56.333333,22,0.290074–0.307728,0.300578,0.785714,0.477986
1,D,93.666667,4,0.472839–0.523681,0.515571,0.142857,0.329982
1,SN,10.000000,0,0.047343–0.067232,0.048443,0.000000,0.047343
1,LD,8.333333,0,0.040422–0.060756,0.046243,0.000000,0.040422
1,SE,8.000000,0,0.036962–0.066132,0.046243,0.000000,0.036962
1,PH,6.333333,2,0.030580–0.035160,0.032258,0.071429,0.036268
1,LM,2.000000,0,0.005376–0.014027,0.010753,0.000000,0.005376
1,EM,0.333333,0,0.000000–0.001730,0.000000,0.000000,0.000000
