n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
2,SE,SN,464.416667,47,0.134422–0.162064,0.150063,0.111111,0.023311
2,SN,WR,365.416667,35,0.102896–0.129190,0.118068,0.082742,0.020154
2,WR,LD,300.083333,30,0.086648–0.107558,0.091021,0.070922,0.015726
2,LD,LD,88.166667,1,0.017723–0.025365,0.019748,0.002364,0.015359
2,D,WR,133.500000,26,0.037638–0.046799,0.042974,0.061466,0.014667
2,D,N,0.833333,5,0.000000–0.000410,0.000103,0.011820,0.011410
2,SN,SE,71.000000,3,0.018122–0.026241,0.021700,0.007092,0.011030
2,SN,D,2.666667,5,0.000248–0.001024,0.000626,0.011820,0.010796
2,SN,LD,2.666667,5,0.000000–0.001592,0.000320,0.011820,0.010228
2,SN,N,0.750000,4,0.000000–0.000000,0.000000,0.009456,0.009456
2,SN,SN,30.083333,4,0.000000–0.000000,0.000000,0.009456,0.009456
2,SE,LD,0.916667,4,0.000000–0.000079,0.000000,0.009456,0.009377
2,N,LD,0.666667,4,0.000000–0.000082,0.000000,0.009456,0.009374
2,SE,WR,0.750000,4,0.000000–0.000165,0.000000,0.009456,0.009291
2,E,SE,1.416667,4,0.000000–0.000328,0.000000,0.009456,0.009128
2,WR,PH,22.333333,7,0.005657–0.008122,0.006689,0.016548,0.008427
2,LD,D,42.250000,1,0.010055–0.015773,0.011469,0.002364,0.007691
2,LD,SE,218.250000,37,0.056163–0.080280,0.065740,0.087470,0.007191
2,LD,SN,0.916667,3,0.000000–0.000000,0.000000,0.007092,0.007092
2,E,D,0.250000,3,0.000000–0.000000,0.000000,0.007092,0.007092
2,WR,SN,0.750000,3,0.000000–0.000165,0.000000,0.007092,0.006927
2,E,WR,1.916667,3,0.000000–0.000403,0.000319,0.007092,0.006689
2,WR,SE,108.083333,10,0.029150–0.038555,0.032282,0.023641,0.005509
2,SN,E,5.333333,3,0.000535–0.002279,0.000951,0.007092,0.004813
2,N,SN,0.833333,2,0.000000–0.000000,0.000000,0.004728,0.004728
2,N,N,3.416667,2,0.000000–0.000000,0.000000,0.004728,0.004728
2,D,SN,0.833333,2,0.000000–0.000165,0.000000,0.004728,0.004563
2,SE,D,1.083333,2,0.000000–0.000258,0.000000,0.004728,0.004470
2,WR,N,1.083333,2,0.000000–0.000353,0.000158,0.004728,0.004375
2,LD,WR,119.250000,13,0.034611–0.040665,0.037431,0.030733,0.003878
